name,median_household_income,median_monthly_rent,msa
" MA-NH Metro Area""",78800,1578,14460]
" CO Metro Area""",72009,1377,14500]
" IL-IN-WI Metro Area""",63153,1209,16980]
" OH Metro Area""",51049,857,17460]
" CO Metro Area""",70283,1307,19740]
" TX Metro Area""",61465,1082,26420]
" MI Metro Area""",61977,1124,11460]
" GA Metro Area""",38643,823,12020]
" AL Metro Area""",46589,866,12220]
" MD Metro Area""",72520,1344,12580]
" FL Metro Area""",50441,1214,33100]
" WI Metro Area""",56247,997,33340]
" MN-WI Metro Area""",71008,1181,33460]
" PA-NJ-DE-MD Metro Area""",65123,1231,37980]
" PA Metro Area""",54080,812,38300]
" CA Metro Area""",62813,1276,40900]
" MO-IL Metro Area""",56483,938,41180]
" MA Metro Area""",53393,1064,44140]
" CA Metro Area""",67443,1444,46700]
" VA-NC Metro Area""",60093,1216,47260]
" CA Metro Area""",62544,1504,31080]
" DC-VA-MD-WV Metro Area""",93294,1733,47900]
" MA-CT Metro Area""",65427,1221,49340]]
