name,median_household_income,median_monthly_rent,msa
" CA Metro Area""",77133,1661,46700]
" VA-NC Metro Area""",64255,1242,47260]
" DC-VA-MD-WV Metro Area""",99669,1778,47900]
" MA-CT Metro Area""",69412,1214,49340]
" CA Metro Area""",69992,1630,31080]
" MI Metro Area""",70286,1164,11460]
" GA Metro Area""",46521,858,12020]
" AL Metro Area""",52943,788,12220]
" MD Metro Area""",77394,1367,12580]
" MA-NH Metro Area""",85691,1655,14460]
" CO Metro Area""",80834,1506,14500]
" PA-NJ-DE-MD Metro Area""",68572,1234,37980]
" FL Metro Area""",54284,1280,33100]
" WI Metro Area""",59448,994,33340]
" MN-WI Metro Area""",76856,1250,33460]
" IL-IN-WI Metro Area""",68403,1243,16980]
" OH Metro Area""",52489,868,17460]
" CO Metro Area""",76643,1443,19740]
" PA Metro Area""",58521,837,38300]
" TX Metro Area""",63802,1118,26420]
" CA Metro Area""",67902,1392,40900]
" MO-IL Metro Area""",61571,954,41180]
" MA Metro Area""",55379,1044,44140]]
