median_household_income,median_monthly_rent,state_id,puma
39044,573,1,00100
58989,857,1,00301
39169,601,1,01100
65728,1031,1,01200
26164,634,1,01301
30838,716,1,01302
35648,717,1,01600
34911,555,1,01800
45043,816,1,01900
38928,579,1,02300
44753,832,1,02702
50631,846,1,02703
66453,1470,6,00101
34253,1154,6,00104
67883,1399,6,00105
61626,1395,6,00106
44228,995,6,00701
38943,853,6,00702
41654,829,6,01100
44521,1132,6,01301
68316,1571,6,01302
35232,820,6,01901
40682,909,6,02300
63813,1450,6,03718
28647,949,6,03744
26809,977,6,03745
23854,985,6,03746
73970,1831,6,03748
42250,911,6,04702
56220,1227,6,07302
73017,1541,6,07310
68709,1669,6,07312
60846,1477,6,07315
50540,1191,6,07316
67819,1642,6,08702
42444,641,8,00100
85889,1429,8,00801
68992,1260,8,00802
60158,1283,8,00803
80411,1457,8,00804
62442,1217,8,00805
81909,1684,9,00100
128591,2602,9,00101
37571,1158,9,00104
86530,1830,9,00105
49857,1128,9,00301
76045,1473,9,00906
66945,1252,9,01100
66287,1183,9,01101
40459,983,10,00101
72577,1389,10,00104
115388,1970,11,00101
32779,913,11,00104
82594,1791,11,00105
29522,860,12,00101
75598,1649,12,01101
39322,633,12,01701
54827,1098,12,01900
62906,1224,12,02101
35412,625,12,02300
40841,875,12,03107
42105,943,12,05705
52770,1400,12,08614
84688,1758,12,08616
31830,509,12,12100
48878,834,13,00100
36628,899,13,00401
27905,580,13,01100
31903,541,13,01200
41400,674,13,01600
34511,623,13,01800
36880,760,13,01900
47831,1107,13,02001
43134,843,13,02300
46187,845,13,02900
47792,725,17,00104
50320,754,17,00105
48163,680,17,00401
46450,758,17,01701
61339,786,17,01900
51703,909,17,02300
89087,1706,17,03107
34461,762,18,00101
68509,1113,18,00104
34447,675,18,00401
47270,696,18,01100
42507,813,18,01200
44370,647,18,01600
75485,1151,18,01801
79704,1229,18,01803
42933,724,18,01900
48504,876,18,02302
49775,757,18,02900
50624,606,19,00100
52105,924,19,01100
53624,703,19,01200
