name,median_household_income,median_monthly_rent,msa
" CO Metro Area""",59007,1207,19740]
" NC Metro Area""",49902,921,20500]
" FL Metro Area""",37654,881,23540]
" NC Metro Area""",41272,789,24660]
" SC Metro Area""",43283,763,24860]
" CT Metro Area""",65698,1260,25540]
" TX Metro Area""",54146,1021,26420]
" IA Metro Area""",48767,821,26980]
" NY Metro Area""",45010,957,27060]
" NH-VT Micro Area""",50010,1034,30100]
" WI Metro Area""",56709,1088,31540]
" CA Metro Area""",39535,917,32900]
" FL Metro Area""",45946,1235,33100]
" WI Metro Area""",52024,985,33340]
" MN-WI Metro Area""",63114,1245,33460]
" TN Metro Area""",51066,947,34980]
" CT Metro Area""",60601,1329,35300]
" LA Metro Area""",46219,938,35380]
" NY-NJ-PA Metro Area""",62887,1401,35620]
" NY Metro Area""",57677,1019,10580]
" PA-NJ Metro Area""",56802,1042,10900]
" MI Metro Area""",54603,1110,11460]
" GA Metro Area""",38994,847,12020]
" GA Metro Area""",55464,1146,12060]
" AL Metro Area""",36925,718,12220]
" TX Metro Area""",56218,1117,12420]
" MD Metro Area""",65392,1286,12580]
" NY Metro Area""",44279,732,13780]
" VA Metro Area""",40623,733,13980]
" IN Metro Area""",37365,759,14020]
" MA-NH Metro Area""",69334,1470,14460]
" CO Metro Area""",63431,1277,14500]
" NY Metro Area""",45811,788,15380]
" NC Metro Area""",42739,746,15500]
" IL Metro Area""",41802,846,16580]
" VA Metro Area""",55756,1049,16820]
" IL-IN-WI Metro Area""",58729,1231,16980]
" OH Metro Area""",45395,881,17460]
" PA-NJ-DE-MD Metro Area""",60065,1165,37980]
" PA Metro Area""",46349,756,38300]
" UT Metro Area""",57476,1155,39340]
" CA Metro Area""",57361,1282,40900]
" MO-IL Metro Area""",51691,915,41180]
" CA Metro Area""",60231,1491,41740]
" CA Metro Area""",73825,1624,41860]
" CA Metro Area""",84483,1763,41940]
" CA Metro Area""",61499,1510,42100]
" IN-MI Metro Area""",43607,764,43780]
" MA Metro Area""",49177,946,44140]
" NY Metro Area""",49630,850,45060]
" FL Metro Area""",39973,895,45220]
" FL Metro Area""",44061,976,45300]
" NJ Metro Area""",71650,1435,45940]
" CA Metro Area""",65783,1585,46700]
" VA-NC Metro Area""",55209,1187,47260]
" TX Metro Area""",38837,725,47380]
" DC-VA-MD-WV Metro Area""",85168,1721,47900]
" NC Metro Area""",45722,776,49180]
" MA Metro Area""",63360,1210,49340]]
