median_household_income,median_monthly_rent,state_id,puma
40850,603,1,00100
60497,850,1,00301
42346,616,1,01100
70192,1018,1,01200
29181,669,1,01301
30007,727,1,01302
40814,828,1,01600
36995,577,1,01800
46589,866,1,01900
38233,567,1,02300
61407,1379,6,07302
75453,1725,6,07310
72768,1811,6,07312
68332,1660,6,07315
60109,1319,6,07316
61267,1583,6,08702
48242,684,8,00100
92179,1568,8,00801
80135,1345,8,00802
62846,1376,8,00803
83085,1472,8,00804
67011,1336,8,00805
85424,1748,9,00100
143333,2712,9,00101
42420,1243,9,00104
90638,1785,9,00105
61080,1196,9,00301
81617,1518,9,00906
65935,1227,9,01100
65582,1213,9,01101
43570,977,10,00101
80171,1423,10,00104
120149,1993,11,00101
33864,1031,11,00104
94327,1895,11,00105
36552,861,12,00101
76059,1623,12,01101
40294,613,12,01701
58676,993,12,01900
78887,1344,12,02101
40048,619,12,02300
46552,918,12,03107
46940,992,12,05705
57145,1734,12,08614
92474,1774,12,08616
36426,531,12,12100
47012,883,13,00100
39810,980,13,00401
34295,654,13,01100
38708,567,13,01200
41632,686,13,01600
34126,648,13,01800
41393,735,13,01900
47966,1116,13,02001
43410,858,13,02300
50572,902,13,02900
49011,705,17,00104
50542,741,17,00105
48282,691,17,00401
53837,824,17,01701
57020,814,17,01900
53850,944,17,02300
96832,1781,17,03107
43193,841,1,02702
53144,846,1,02703
75887,1638,6,00101
42788,1263,6,00104
71746,1527,6,00105
76647,1550,6,00106
48442,1082,6,00701
42385,829,6,00702
40500,792,6,01100
48469,1182,6,01301
85062,1724,6,01302
40857,826,6,01901
40484,931,6,02300
76948,1641,6,03718
32706,1043,6,03744
32298,1076,6,03745
31506,1077,6,03746
86971,2029,6,03748
37838,886,6,04702
61359,1128,25,01600
38398,968,25,01900
51772,1001,25,01901
45121,635,26,00100
61124,866,26,00801
60929,907,26,00802
44118,719,26,01100
37545,703,26,01200
44759,648,26,01600
58149,911,26,01701
60495,986,26,01801
59605,904,26,01900
61529,889,26,02101
48897,726,26,02300
55853,1174,26,02702
56903,1007,26,02703
57394,790,27,00100
79820,1322,27,01101
96133,1422,27,01202
73350,1151,27,01301
61801,994,27,01302
60206,1093,27,01404
57840,1109,27,01406
