median_household_income,median_monthly_rent,state_id,puma
46449,615,1,00100
63997,921,1,00301
48156,710,1,01100
75614,1131,1,01200
34510,734,1,01301
36806,832,1,01302
42331,908,1,01600
47292,647,1,01800
53712,839,1,01900
50098,587,1,02300
50077,925,1,02702
55612,840,1,02703
96925,1969,6,00101
53146,1540,6,00104
100006,2054,6,00105
94172,2028,6,00106
66804,1229,6,00701
55915,920,6,00702
53679,966,6,01100
69841,1745,6,01301
101773,2160,6,01302
45171,922,6,01901
51662,1032,6,02300
91607,1942,6,03718
46691,1434,6,03744
41609,1297,6,03745
44672,1271,6,03746
111648,2504,6,03748
57106,1092,6,04702
78476,1564,6,07302
100380,2034,6,07310
81902,2094,6,07312
91589,2015,6,07315
72811,1717,6,07316
87192,1937,6,08702
53259,767,8,00100
116640,1841,8,00801
94231,1684,8,00802
77712,1601,8,00803
103493,1735,8,00804
78948,1556,8,00805
91476,1725,9,00100
185864,3080,9,00101
44035,1244,9,00104
100380,1750,9,00105
64561,1173,9,00301
80900,1576,9,00906
72016,1316,9,01100
77449,1344,9,01101
52133,1057,10,00101
94019,1457,10,00104
141660,2008,11,00101
45351,1181,11,00104
116899,2152,11,00105
40329,936,12,00101
86899,1743,12,01101
50751,678,12,01701
76687,1115,12,01900
95788,1507,12,02101
43521,620,12,02300
51047,947,12,03107
60026,1192,12,05705
81546,1919,12,08614
97491,1841,12,08616
46550,534,12,12100
58508,931,13,00100
46266,1032,13,00401
38563,621,13,01100
44197,577,13,01200
55506,721,13,01600
43880,640,13,01800
54784,798,13,01900
53030,1155,13,02001
61133,845,13,02300
59911,927,13,02900
53198,747,17,00104
58313,790,17,00105
55864,689,17,00401
57247,848,17,01701
65848,867,17,01900
60923,1003,17,02300
111077,1763,17,03107
43068,775,18,00101
81639,1188,18,00104
43994,767,18,00401
52958,758,18,01100
49352,906,18,01200
55253,708,18,01600
81020,1244,18,01801
112381,1402,18,01803
55142,748,18,01900
70527,1123,18,02302
67460,845,18,02900
60918,752,19,00100
66011,1136,19,01100
57251,809,19,01200
86063,1263,19,01600
53906,668,19,01800
55943,669,19,01900
51498,746,19,02300
40947,754,22,00100
50295,867,22,00101
48838,616,22,01100
52129,784,22,01200
85425,1060,22,01600
42555,725,22,01800
66142,871,22,01900
60848,987,22,02201
58996,890,22,02300
46402,835,22,02302
37979,1008,22,02401
58463,1156,22,02402
54194,694,24,00100
110400,1717,24,00301
73840,1489,24,00502
72032,1394,24,00504
78101,1306,24,00505
60353,1103,24,00506
42448,1038,24,00801
58578,1171,24,00802
53578,1125,24,00803
55962,1251,24,00804
47110,1094,24,00805
72632,1539,24,01101
82838,1416,24,01202
103932,1837,24,01600
58895,1076,25,00100
60537,1156,25,00301
62487,1366,25,00502
87979,1749,25,00504
121787,2151,25,00505
119540,2285,25,00506
65436,1406,25,00701
106526,1942,25,00702
96519,1699,25,00703
73703,1233,25,01600
44596,1055,25,01900
58989,1020,25,01901
50339,651,26,00100
67053,986,26,00801
72226,1058,26,00802
51717,742,26,01100
46011,693,26,01200
50557,639,26,01600
65857,947,26,01701
71292,1022,26,01801
66787,943,26,01900
69245,882,26,02101
56796,797,26,02300
72563,1333,26,02702
65463,1123,26,02703
61010,889,27,00100
96247,1418,27,01101
108650,1546,27,01202
80366,1212,27,01301
67066,1112,27,01302
75436,1196,27,01404
63969,1144,27,01406
70708,1309,27,01407
112502,1634,27,01600
91707,1363,27,01800
62708,875,27,01900
72104,1022,27,02300
48132,595,29,00100
69042,1065,29,01100
43814,599,29,01200
60953,804,29,01600
100335,1353,29,01701
45751,894,29,01801
43259,854,29,01803
33627,805,29,01901
74227,978,29,02001
39737,605,29,02300
56769,1006,33,00100
54923,1252,34,00101
81903,1708,34,00301
100090,1840,34,00502
63819,1469,34,00701
87041,1725,34,00702
72716,1520,34,00703
77186,1608,34,00906
85056,1593,34,01101
72056,1314,34,01202
41252,1203,34,01301
37754,1176,34,01302
134035,2478,34,01404
101195,1715,34,01600
50732,1275,34,01800
86158,1762,34,01901
82630,1459,34,02001
41636,983,34,02101
86850,1412,34,02201
113976,2050,34,02302
52108,709,36,00100
65737,785,36,00401
39494,814,36,00701
77371,1064,36,00702
69044,1022,36,00703
85826,1224,36,00906
52108,734,36,01101
81088,1160,36,01202
51584,808,36,01600
91889,1309,36,01801
71574,1119,36,01900
49941,1064,36,02001
44451,799,36,02201
58626,1233,36,02300
61394,791,36,02401
50976,726,36,02402
64175,1228,36,02702
81162,1435,36,02802
81199,1814,36,03107
111630,2179,36,03311
53507,1312,36,03801
80913,1745,36,04109
72781,1617,36,04110
65744,1648,36,04112
46419,708,37,00100
60951,952,37,01100
66740,1172,37,01202
72822,1205,37,01301
57409,1077,37,01302
58442,809,37,01600
57027,976,37,01701
44630,820,37,01801
68409,940,37,01803
58285,727,37,01900
53113,1091,37,02201
51990,704,37,02300
70407,1067,37,02900
71061,1285,37,03107
57863,728,39,00100
40793,748,39,00801
77665,1004,39,00802
33062,743,39,00906
60493,883,39,01100
81006,1147,39,01200
40571,632,39,01600
94565,1216,39,01801
41352,756,39,01803
76468,1020,39,01900
55284,651,39,02300
53147,677,39,02900
70890,1041,39,04109
54980,913,39,04110
36206,697,39,04603
76277,1049,39,04604
36157,696,42,00101
45515,794,42,00701
64167,896,42,00702
57042,846,42,00801
48567,770,42,00802
55982,748,42,00803
53563,738,42,01100
60706,1050,42,01200
72252,954,42,01600
50971,1012,42,01701
71275,1011,42,01801
72008,1010,42,01803
54854,671,42,01900
69858,796,42,02001
80533,1137,42,02302
55477,969,42,02401
69987,1012,42,02402
50135,896,42,02702
78046,1118,42,02703
80205,1266,42,02802
40835,1039,42,02803
50848,727,45,00101
62720,1063,45,00104
60104,850,45,00105
45918,851,45,00301
62317,1102,45,00502
61365,1042,45,00603
52749,782,45,01101
78388,1370,45,01202
43662,633,45,01600
44027,646,47,00100
57101,657,47,01100
41829,576,47,01200
52746,684,47,01800
51160,765,47,01900
43026,856,47,02001
80071,1190,47,02300
71240,1189,47,02401
68160,1174,47,02402
42589,610,47,02900
54124,671,48,00100
62242,1035,48,00502
49708,679,48,01100
53259,732,48,01200
53793,821,48,01600
47820,719,48,01800
72507,1434,48,01901
85053,1411,48,02001
78797,1219,48,02101
52867,1098,48,02302
55988,877,48,02900
35785,776,48,03801
56849,1263,48,04603
110233,1730,48,04604
102890,1488,48,04702
77130,1572,48,05306
54097,966,49,49003
140398,2296,51,01301
101524,1921,51,01302
51987,751,55,00100
57284,1254,55,00101
61443,767,55,01301
65851,826,55,01600
