median_household_income,median_monthly_rent,state_id,puma
48418,695,8,00100
108001,1702,8,00801
86791,1483,8,00802
68990,1587,8,00803
66976,1380,8,00805
78221,1688,12,01101
43548,597,12,01701
71212,1330,12,02101
46747,935,12,03107
103117,1923,12,08616
50557,896,13,00100
40357,632,13,01800
56978,1073,13,02001
53843,835,17,01701
50542,1148,48,04603
102269,1682,48,04604
48987,724,55,00100
101686,1721,17,03107
42851,667,24,00100
101586,1614,24,00301
81555,1438,24,00502
66614,1310,24,00504
75089,1259,24,00505
56096,1032,24,00506
36510,923,24,00801
51904,1160,24,00802
51888,1092,24,00803
45448,1029,24,00805
60240,1444,24,01101
57054,968,25,00100
64456,1115,25,00301
50391,1184,25,00502
91558,1592,25,00504
109480,1948,25,00505
97316,2046,25,00506
106054,1904,25,00702
81932,1590,25,00703
45966,627,26,00100
65181,932,26,00801
71555,1010,26,00802
55732,851,26,01701
64064,887,26,02101
71366,1300,26,02702
56808,1007,26,02703
57489,803,27,00100
87483,1351,27,01101
79931,1276,27,01800
45532,534,29,00100
90420,1311,29,01701
62600,951,29,02001
56825,963,33,00100
53621,674,39,00100
36690,713,39,00801
72921,1075,39,00802
33644,681,39,04603
67114,989,39,04604
60538,881,42,00702
55607,833,42,00801
45512,709,42,00802
53067,768,42,00803
45850,935,42,01701
67614,785,42,02001
43120,856,42,02702
71097,1139,42,02703
39687,958,42,02803
48992,608,48,00100
54808,934,48,00502
42987,667,48,01800
74142,1231,48,02001
72138,1106,48,02101
43134,621,1,00100
58225,867,1,00301
43673,583,1,01800
47466,914,1,02702
54823,830,1,02703
45685,920,6,00702
