median_household_income,median_monthly_rent,state_id,puma
47194,596,1,00100
60658,927,1,00301
45818,727,1,01100
71230,1055,1,01200
27973,659,1,01301
41650,803,1,01302
43981,861,1,01600
44099,604,1,01800
46456,842,1,01900
47726,623,1,02300
41694,863,1,02702
51786,793,1,02703
83910,1948,6,00101
51474,1444,6,00104
93855,1965,6,00105
89350,1967,6,00106
56343,1184,6,00701
47058,898,6,00702
46485,872,6,01100
63788,1529,6,01301
93441,1998,6,01302
44419,965,6,01901
50294,992,6,02300
76813,1814,6,03718
45306,1255,6,03744
41394,1240,6,03745
36329,1262,6,03746
106569,2453,6,03748
55200,1036,6,04702
85148,1655,6,07302
90402,1901,6,07310
83988,2104,6,07312
84666,1907,6,07315
70589,1635,6,07316
87297,1957,6,08702
51319,762,8,00100
107634,1580,8,00801
90477,1546,8,00802
69610,1536,8,00803
98462,1677,8,00804
71891,1451,8,00805
83295,1671,9,00100
163105,2857,9,00101
44433,1262,9,00104
104111,1916,9,00105
70082,1249,9,00301
85071,1582,9,00906
68112,1213,9,01100
66697,1338,9,01101
48385,1039,10,00101
85739,1465,10,00104
143394,2217,11,00101
40108,1124,11,00104
110125,2125,11,00105
40584,941,12,00101
85151,1762,12,01101
39964,594,12,01701
61825,1030,12,01900
87490,1447,12,02101
42155,652,12,02300
51088,997,12,03107
52261,1155,12,05705
83784,1934,12,08614
102758,1810,12,08616
35270,484,12,12100
53973,902,13,00100
46309,993,13,00401
38087,646,13,01100
41335,525,13,01200
46914,727,13,01600
40859,647,13,01800
44449,811,13,01900
51963,1121,13,02001
51545,844,13,02300
57380,873,13,02900
55522,732,17,00104
52148,832,17,00105
50984,695,17,00401
56138,846,17,01701
60857,831,17,01900
51404,948,17,02300
112110,1746,17,03107
39990,771,18,00101
77587,1152,18,00104
41203,731,18,00401
52451,729,18,01100
50256,853,18,01200
52944,698,18,01600
84319,1236,18,01801
92933,1369,18,01803
49615,780,18,01900
61111,1069,18,02302
56784,829,18,02900
57526,698,19,00100
63035,1064,19,01100
60632,811,19,01200
81520,1276,19,01600
50633,661,19,01800
54088,617,19,01900
48589,705,19,02300
35478,724,22,00100
41376,879,22,00101
43159,612,22,01100
44143,779,22,01200
79495,999,22,01600
46107,763,22,01800
59198,796,22,01900
54182,1021,22,02201
51273,967,22,02300
41956,883,22,02302
32010,922,22,02401
54980,1169,22,02402
43200,703,24,00100
103811,1659,24,00301
80050,1487,24,00502
70722,1323,24,00504
74455,1357,24,00505
55232,1099,24,00506
42247,953,24,00801
55454,1168,24,00802
55592,1111,24,00803
55519,1231,24,00804
44328,1030,24,00805
64954,1553,24,01101
71755,1418,24,01202
94368,1767,24,01600
60476,977,25,00100
61876,1134,25,00301
59867,1224,25,00502
88270,1626,25,00504
114195,1986,25,00505
106363,2224,25,00506
57821,1358,25,00701
114863,2008,25,00702
80564,1650,25,00703
74054,1192,25,01600
32747,971,25,01900
55991,1009,25,01901
48233,661,26,00100
68509,927,26,00801
71517,993,26,00802
51604,732,26,01100
45788,730,26,01200
47574,657,26,01600
66228,894,26,01701
64470,1070,26,01801
67959,935,26,01900
59072,871,26,02101
57582,784,26,02300
68053,1373,26,02702
55829,1058,26,02703
62510,840,27,00100
94914,1452,27,01101
99210,1536,27,01202
77732,1156,27,01301
63871,1119,27,01302
66496,1130,27,01404
60192,1122,27,01406
73745,1331,27,01407
102930,1511,27,01600
88359,1234,27,01800
61460,827,27,01900
65876,1006,27,02300
46643,596,29,00100
65617,960,29,01100
41322,632,29,01200
58209,770,29,01600
86996,1267,29,01701
43814,913,29,01801
41576,868,29,01803
34963,820,29,01901
65152,996,29,02001
36202,564,29,02300
58628,993,33,00100
54091,1191,34,00101
84704,1728,34,00301
91446,1910,34,00502
70778,1505,34,00701
90460,1833,34,00702
71264,1441,34,00703
73045,1553,34,00906
92581,1728,34,01101
68331,1367,34,01202
39246,1206,34,01301
36058,1135,34,01302
144550,2425,34,01404
92766,1721,34,01600
