name,median_household_income,median_monthly_rent,msa
" TX Metro Area""",60072,1039,26420]
" IA Metro Area""",59791,1031,26980]
" NY Metro Area""",52885,1054,27060]
" NY Metro Area""",62265,1078,10580]
" PA-NJ Metro Area""",60320,1112,10900]
" MI Metro Area""",62845,1125,11460]
" GA Metro Area""",41761,833,12020]
" GA Metro Area""",56166,1075,12060]
" AL Metro Area""",39932,792,12220]
" TX Metro Area""",63603,1192,12420]
" MD Metro Area""",71501,1312,12580]
" VA Metro Area""",43709,759,13980]
" NY Metro Area""",48188,800,13780]
" IN Metro Area""",44963,835,14020]
" MA-NH Metro Area""",75667,1498,14460]
" CO Metro Area""",71540,1309,14500]
" NY Metro Area""",50074,810,15380]
" NC Metro Area""",39576,785,15500]
" IL Metro Area""",48063,852,16580]
" VA Metro Area""",58189,1087,16820]
" IL-IN-WI Metro Area""",61598,1204,16980]
" OH Metro Area""",49889,858,17460]
" CO Metro Area""",66870,1235,19740]
" NC Metro Area""",51988,976,20500]
" FL Metro Area""",45353,857,23540]
" NC Metro Area""",42565,807,24660]
" SC Metro Area""",44783,758,24860]
" CT Metro Area""",68532,1264,25540]
" CA Metro Area""",44084,923,32900]
" FL Metro Area""",48458,1165,33100]
" WI Metro Area""",53164,988,33340]
" MN-WI Metro Area""",69111,1157,33460]
" TN Metro Area""",52640,963,34980]
" NY-NJ-PA Metro Area""",67066,1493,35620]
" CT Metro Area""",60391,1286,35300]
" LA Metro Area""",46784,922,35380]
" CA Metro Area""",60015,1225,40900]
" MO-IL Metro Area""",55535,919,41180]
" CA Metro Area""",66192,1536,41740]
" CA Metro Area""",83222,1715,41860]
" CA Metro Area""",96481,1946,41940]
" CA Metro Area""",65368,1589,42100]
" IN-MI Metro Area""",46610,748,43780]
" MA Metro Area""",50916,1004,44140]
" NY Metro Area""",51915,879,45060]
" FL Metro Area""",44242,905,45220]
" FL Metro Area""",46876,925,45300]
" NJ Metro Area""",74961,1462,45940]
" CA Metro Area""",67999,1457,46700]
" VA-NC Metro Area""",58871,1162,47260]
" TX Metro Area""",43184,785,47380]
" PA-NJ-DE-MD Metro Area""",62171,1189,37980]
" PA Metro Area""",52293,787,38300]
" UT Metro Area""",60890,1077,39340]
" DC-VA-MD-WV Metro Area""",91193,1707,47900]
" NC Metro Area""",43665,765,49180]
" MA-CT Metro Area""",64556,1174,49340]
" IN Metro Area""",46109,820,29200]
" CA Metro Area""",60514,1463,31080]
" WI Metro Area""",60903,1088,31540]]
