name,median_household_income,median_monthly_rent,msa
" MI Metro Area""",76576,1235,11460]
" GA Metro Area""",50962,903,12020]
" AL Metro Area""",53712,839,12220]
" MD Metro Area""",83160,1429,12580]
" MA-NH Metro Area""",94430,1790,14460]
" CO Metro Area""",88535,1633,14500]
" IL-IN-WI Metro Area""",75379,1300,16980]
" OH Metro Area""",57228,902,17460]
" CO Metro Area""",85641,1573,19740]
" TX Metro Area""",69193,1203,26420]
" FL Metro Area""",60141,1383,33100]
" WI Metro Area""",65845,1042,33340]
" MN-WI Metro Area""",83698,1311,33460]
" PA-NJ-DE-MD Metro Area""",74533,1289,37980]
" PA Metro Area""",62638,874,38300]
" CA Metro Area""",76706,1511,40900]
" MO-IL Metro Area""",66417,983,41180]
" MA Metro Area""",62346,1103,44140]
" CA Metro Area""",86652,1784,46700]
" VA-NC Metro Area""",69329,1270,47260]
" NH-VT Micro Area""",61321,1082,30100]
" CA Metro Area""",77774,1774,31080]
" DC-VA-MD-WV Metro Area""",105659,1862,47900]
" MA-CT Metro Area""",76348,1319,49340]]
