median_household_income,median_monthly_rent,state_id,puma
35864,578,26,00100
31952,744,26,01800
49587,749,27,00100
50683,788,27,01800
37261,556,29,00100
40295,996,29,01701
46515,905,33,00100
46412,744,39,00100
32107,679,39,00301
59331,1123,39,00502
18880,590,39,00607
36929,852,39,00609
41781,1003,39,00610
41151,821,39,00611
74808,1228,39,00612
53221,927,39,00702
67018,1113,39,00703
72692,1295,39,01101
44463,762,39,01800
33734,794,39,03107
31901,637,42,00100
39021,720,42,00801
51101,844,42,00802
27566,677,42,01701
42740,662,42,02001
52760,800,42,02101
44222,556,48,00100
49594,828,48,00502
37742,632,48,01800
86145,1492,48,02101
68424,1171,48,04603
55307,1082,48,04604
100735,1845,51,00100
87225,1678,51,00301
83790,1640,51,00502
46586,769,51,01800
67853,1459,51,02803
41558,692,55,00100
51337,1011,55,01800
37491,884,55,02001
69580,1262,55,02101
37998,630,1,00100
32948,609,1,01800
36558,797,6,00100
62181,1507,6,01101
47528,1025,6,01800
60543,1594,6,02001
48560,1201,6,02101
93461,1606,6,02702
87135,1715,6,02703
40802,798,8,00502
76017,1383,8,00801
67248,1253,8,00802
59583,1269,8,00803
53631,1191,8,00805
53172,983,12,00702
52409,1134,12,01101
59426,1258,12,02001
47324,873,12,02101
50417,1066,12,02702
61102,1199,12,02703
43670,686,13,00100
97360,1468,13,01101
47044,941,13,01800
40156,820,17,01101
60023,823,17,01800
39464,614,24,00100
62860,1323,24,00502
56689,1209,24,00504
56159,1216,24,00505
47913,938,24,00506
34608,944,24,00801
41710,971,24,00802
52484,1119,24,00803
22823,812,24,00805
57569,1338,24,01101
42267,864,25,00100
63040,991,25,01800
