median_household_income,median_monthly_rent,state_id,puma
52023,1060,6,01800
36740,1020,6,01901
69677,1710,6,02001
49350,1244,6,02101
70522,1561,6,02201
85313,1713,6,02204
72865,1484,6,02302
62893,1335,6,02401
41326,1038,6,02402
88134,1799,6,02403
89826,1608,6,02702
86209,1643,6,02703
67249,1567,6,02802
46773,1147,6,02900
59100,1135,8,00101
38863,761,8,00502
79287,1485,8,00801
60767,1254,8,00802
53667,1190,8,00803
78711,1492,8,00804
57739,1147,8,00805
67835,1374,9,00100
67791,1374,9,01100
61528,1204,9,01200
68805,1413,9,01600
73314,1592,9,01800
33750,981,9,01900
106353,2386,9,02300
45714,1028,10,00101
73051,1453,10,00104
101199,1856,11,00101
30726,865,11,00104
73950,1441,11,00105
38421,854,12,00101
35585,890,12,00701
49524,948,12,00702
55934,1063,12,01101
60900,1275,12,01200
41334,713,12,01600
43228,901,12,01801
47724,1054,12,01901
58030,1291,12,02001
48191,978,12,02101
48875,1066,12,02201
37098,976,12,02204
42753,1191,12,02300
39505,814,12,02401
40183,815,12,02402
39524,815,12,02403
47530,1082,12,02702
56188,1291,12,02703
49758,1101,12,02802
44421,628,17,01600
55277,790,17,01800
53515,804,17,01900
50858,901,17,02300
56681,967,17,02900
24821,717,18,00100
44552,737,18,01100
46555,814,18,01200
38188,608,18,01600
42115,794,18,01800
64763,1187,18,01901
41541,714,18,02001
54049,1005,18,02302
34675,784,18,02900
45300,554,19,00100
43903,676,19,01100
43057,693,19,01200
55050,866,19,01600
41906,658,19,01800
50418,797,19,01900
33414,651,22,00101
46084,628,22,01100
34416,440,22,01200
55698,812,22,01600
32528,864,22,01801
33852,892,22,01803
52837,883,22,01901
53376,912,22,02001
41198,507,22,02300
39737,593,24,00100
66243,1373,24,00502
63609,1166,24,00504
65068,1210,24,00505
48151,982,24,00506
39069,1001,24,00801
45740,1065,24,00802
44957,1061,24,00803
40512,1000,24,00804
26129,641,48,03801
59002,1186,48,04603
56955,1007,48,04604
79362,1394,48,04702
49637,899,49,00100
61181,1155,49,00301
74483,1605,49,00502
52872,951,49,00504
57175,1054,49,00505
60505,1280,49,00506
68101,1381,49,00603
96218,1812,51,00100
91285,1713,51,00301
82909,1741,51,00502
45671,710,51,01100
36984,911,51,01200
36953,743,51,01600
44933,739,51,01800
48327,793,51,01900
45488,876,51,02300
58887,1319,51,02802
63709,1469,51,02803
42741,988,51,02900
39137,676,55,00100
49426,1028,55,01100
67928,1198,55,01200
49674,769,55,01600
52578,1113,55,01800
51743,952,55,01900
38584,907,55,02001
62547,1223,55,02101
77144,1320,55,02201
64931,1153,55,02300
23594,796,24,00805
54253,1229,24,01101
60890,1300,24,01202
89115,1860,24,01600
41105,810,25,00100
65257,1379,25,01100
45479,1150,25,01200
55298,1073,25,01600
56313,957,25,01800
36235,886,25,01900
47415,977,25,02300
47276,1232,25,02900
34376,581,26,00100
35832,668,26,01100
38274,751,26,01200
47641,856,26,01600
35774,801,26,01800
50796,945,26,01900
50723,896,26,02302
46650,785,26,02900
51090,1117,26,03801
43763,634,27,00100
78197,1516,27,01100
68794,1277,27,01202
37274,1037,27,01301
51575,1049,27,01302
82260,1433,27,01404
57535,1057,27,01406
49324,798,27,01800
45534,622,27,01900
64096,1079,27,02300
37855,523,29,00100
45082,818,29,01100
34160,546,29,01200
41599,955,29,01701
25074,640,29,01801
37281,731,29,01803
53501,914,29,01900
30019,468,29,02300
47725,892,33,00100
66556,1364,33,01100
50680,1143,34,00101
68373,1562,34,00301
83613,1811,34,00502
53663,1240,34,00701
64131,1401,34,00702
54251,1208,34,00703
60964,1375,34,01101
59785,1346,34,01202
36911,1057,34,01301
34409,983,34,01302
60237,1632,34,01404
80120,1892,34,01600
41312,1049,34,01800
61495,1487,34,01901
74693,1461,34,02001
35388,901,34,02101
67391,1395,34,02201
87882,1787,34,02302
42654,672,36,00100
50612,760,36,00401
54839,895,36,00801
60227,942,36,00802
58088,902,36,00803
51659,788,36,00804
52875,970,36,01100
49573,763,36,01200
41981,715,36,01800
45458,709,36,01900
67830,1097,36,02201
55651,990,36,02300
39255,910,36,02401
65525,1105,36,02402
38701,648,36,02900
37092,983,36,03801
55123,1232,36,04109
52523,1218,36,04110
54259,1239,36,04112
88802,2114,36,04205
92653,2119,36,04207
36749,541,37,00100
42499,757,37,01100
43578,717,37,01200
38173,744,37,01800
51852,880,37,01900
42739,746,37,02300
72081,1234,37,02702
67662,1237,37,02703
44342,911,37,02802
53716,916,37,02900
40143,689,39,00100
34348,713,39,00301
62802,1168,39,00502
32624,770,39,00603
19375,637,39,00607
40057,815,39,00609
39280,955,39,00610
46216,902,39,00611
68508,1275,39,00612
51540,884,39,00701
53967,1018,39,00702
62698,1269,39,00703
74585,1352,39,01101
36461,781,39,01202
48311,675,39,01600
45132,739,39,01800
41196,705,39,01900
49123,775,39,02201
37595,637,39,02300
43524,781,39,02900
33197,771,39,03107
32136,656,42,00100
40550,735,42,00801
47007,806,42,00802
38667,612,42,01100
39714,646,42,01200
43450,686,42,01600
30893,730,42,01701
67355,1050,42,01801
48222,824,42,01803
54879,843,42,01900
43048,741,42,02001
49481,766,42,02101
51877,786,42,02201
35807,524,42,02300
46872,771,42,02802
50728,787,42,02900
51152,971,42,03801
61964,1351,42,04109
37753,774,42,04110
38763,627,45,00100
36854,691,45,00301
39106,813,45,01100
48828,936,45,01200
38802,651,45,01600
33991,559,45,01800
52668,1079,45,01900
39529,872,45,02101
31189,585,45,02300
33171,582,47,00100
64352,1060,47,00502
40627,640,47,00801
31829,539,47,00802
32317,522,47,01100
40503,681,47,01200
57935,985,47,01301
43363,633,47,01302
39859,627,47,01600
35903,730,47,01800
52870,845,47,01900
47216,948,47,02201
31829,806,47,02204
53859,1002,47,02300
38976,782,47,02900
41082,534,48,00100
45997,854,48,00502
40662,635,48,01100
40167,583,48,01200
34789,431,48,01600
39282,661,48,01800
37841,625,48,01900
79712,1531,48,02101
76582,1428,48,02201
50826,1013,48,02302
43672,713,48,02900
39244,701,13,00100
100144,1791,13,01101
59176,1181,13,01202
48131,953,13,01301
96976,1662,13,01302
49916,1056,13,01600
47606,969,13,01800
64922,1330,13,01900
34398,719,13,02300
43452,773,13,02900
45850,687,17,00101
39390,799,17,01101
58016,916,17,01202
37721,585,1,00100
38014,533,1,01100
36527,604,1,01200
34887,554,1,01600
30934,562,1,01800
40353,852,1,01900
44990,760,1,02300
42181,902,6,00100
65924,1560,6,01101
93078,1902,6,01202
63262,1509,6,01301
67163,1695,6,01302
