median_household_income,median_monthly_rent,state_id,puma
42644,630,1,00100
60196,882,1,00301
41606,581,1,01800
46187,885,1,02702
54392,835,1,02703
45380,863,6,00702
87840,1883,12,08616
51001,851,13,00100
40691,644,13,01800
48587,1087,13,02001
51975,807,17,01701
101746,1715,17,03107
48404,733,8,00100
98848,1558,8,00801
75836,1408,8,00802
72982,1502,8,00803
71159,1336,8,00805
80867,1627,12,01101
39206,587,12,01701
75342,1398,12,02101
42145,900,12,03107
56141,898,33,00100
51524,692,39,00100
40719,722,39,00801
69504,1024,39,00802
31085,675,39,04603
64478,969,39,04604
52174,1171,48,04603
96890,1671,48,04604
47113,696,55,00100
55871,820,42,00702
49657,833,42,00801
42358,688,42,00802
49133,730,42,00803
42258,891,42,01701
60259,756,42,02001
42834,872,42,02702
73097,1123,42,02703
35813,981,42,02803
48076,624,48,00100
59309,917,48,00502
43790,681,48,01800
66810,1226,48,02001
70210,1078,48,02101
46479,719,24,00100
101530,1646,24,00301
72430,1401,24,00502
66913,1335,24,00504
73979,1315,24,00505
52482,1048,24,00506
41354,978,24,00801
47037,1074,24,00802
50972,1018,24,00803
41505,958,24,00805
63316,1427,24,01101
58418,960,25,00100
56560,1027,25,00301
55383,1229,25,00502
83307,1546,25,00504
112066,1866,25,00505
86657,1947,25,00506
106243,1857,25,00702
74415,1476,25,00703
43568,620,26,00100
59791,877,26,00801
69344,957,26,00802
54160,859,26,01701
59119,859,26,02101
61064,1235,26,02702
53177,988,26,02703
55126,782,27,00100
84731,1309,27,01101
74190,1135,27,01800
44908,549,29,00100
91408,1344,29,01701
64285,970,29,02001
