name,median_household_income,median_monthly_rent,msa
" CA Metro Area""",74922,1645,41860]
" CA Metro Area""",90737,1824,41940]
" CA Metro Area""",67769,1630,42100]
" IN-MI Metro Area""",44769,750,43780]
" MA Metro Area""",51531,968,44140]
" NY Metro Area""",51259,848,45060]
" FL Metro Area""",44715,925,45220]
" FL Metro Area""",44402,923,45300]
" NJ Metro Area""",67991,1419,45940]
" CA Metro Area""",62066,1402,46700]
" VA-NC Metro Area""",55997,1209,47260]
" TX Metro Area""",40658,781,47380]
" DC-VA-MD-WV Metro Area""",88233,1699,47900]
" CA Metro Area""",43597,943,32900]
" FL Metro Area""",46648,1168,33100]
" WI Metro Area""",52605,956,33340]
" MN-WI Metro Area""",66282,1169,33460]
" NY Metro Area""",60625,1008,10580]
" PA-NJ Metro Area""",55766,1092,10900]
" MI Metro Area""",56330,1106,11460]
" GA Metro Area""",38028,819,12020]
" GA Metro Area""",54628,1088,12060]
" AL Metro Area""",45043,816,12220]
" TX Metro Area""",59433,1159,12420]
" MD Metro Area""",66970,1273,12580]
" TN Metro Area""",51500,937,34980]
" CT Metro Area""",59271,1272,35300]
" LA Metro Area""",44379,897,35380]
" NY-NJ-PA Metro Area""",63982,1462,35620]
" NC Metro Area""",50262,938,20500]
" PA-NJ-DE-MD Metro Area""",60105,1175,37980]
" FL Metro Area""",41226,877,23540]
" SC Metro Area""",43724,759,24860]
" NC Metro Area""",41751,774,24660]
" VA Metro Area""",42455,741,13980]
" NY Metro Area""",48140,731,13780]
" IN Metro Area""",38794,767,14020]
" NH-VT Micro Area""",51723,1023,30100]
" WI Metro Area""",58894,1080,31540]
" MA-NH Metro Area""",71738,1451,14460]
" CO Metro Area""",66989,1284,14500]
" NY Metro Area""",50269,795,15380]
" NC Metro Area""",39782,764,15500]
" PA Metro Area""",50489,761,38300]
" IL Metro Area""",47632,840,16580]
" VA Metro Area""",62880,1082,16820]
" IL-IN-WI Metro Area""",59261,1208,16980]
" OH Metro Area""",46944,851,17460]
" UT Metro Area""",58218,1104,39340]
" CA Metro Area""",56813,1249,40900]
" MO-IL Metro Area""",52243,907,41180]
" CA Metro Area""",60330,1471,41740]
" NC Metro Area""",42254,752,49180]
" MA Metro Area""",62505,1171,49340]
" CO Metro Area""",61453,1191,19740]
" CT Metro Area""",66732,1253,25540]
" TX Metro Area""",55910,1018,26420]
" IA Metro Area""",52767,909,26980]
" NY Metro Area""",49930,1072,27060]]
