name,median_household_income,median_monthly_rent,msa
" CA Metro Area""",57027,1227,40900]
" MO-IL Metro Area""",54449,919,41180]
" CA Metro Area""",61426,1473,41740]
" CA Metro Area""",79624,1658,41860]
" CA Metro Area""",91533,1848,41940]
" CA Metro Area""",68438,1532,42100]
" IN-MI Metro Area""",40784,711,43780]
" MA Metro Area""",52397,996,44140]
" NY Metro Area""",51496,848,45060]
" FL Metro Area""",44420,889,45220]
" FL Metro Area""",45880,911,45300]
" NJ Metro Area""",70857,1432,45940]
" CA Metro Area""",63520,1408,46700]
" VA-NC Metro Area""",56161,1189,47260]
" TX Metro Area""",40170,738,47380]
" IN Metro Area""",48372,798,29200]
" CA Metro Area""",58869,1433,31080]
" WI Metro Area""",59466,1059,31540]
" CA Metro Area""",40687,918,32900]
" FL Metro Area""",46946,1158,33100]
" WI Metro Area""",51957,959,33340]
" MN-WI Metro Area""",67194,1142,33460]
" TN Metro Area""",51996,937,34980]
" CT Metro Area""",58571,1221,35300]
" LA Metro Area""",45981,928,35380]
" NY-NJ-PA Metro Area""",65786,1463,35620]
" PA-NJ-DE-MD Metro Area""",60482,1172,37980]
" PA Metro Area""",51291,765,38300]
" UT Metro Area""",60051,1094,39340]
" DC-VA-MD-WV Metro Area""",90149,1688,47900]
" NC Metro Area""",42563,746,49180]
" MA-CT Metro Area""",61789,1150,49340]
" NY Metro Area""",48516,975,27060]
" NY Metro Area""",59626,1014,10580]
" PA-NJ Metro Area""",56543,1052,10900]
" MI Metro Area""",59660,1107,11460]
" GA Metro Area""",38227,803,12020]
" GA Metro Area""",55733,1062,12060]
" AL Metro Area""",46068,819,12220]
" TX Metro Area""",61750,1152,12420]
" MD Metro Area""",68455,1278,12580]
" VA Metro Area""",42242,751,13980]
" NY Metro Area""",46836,732,13780]
" IN Metro Area""",42085,812,14020]
" MA-NH Metro Area""",72907,1462,14460]
" CO Metro Area""",71604,1299,14500]
" NY Metro Area""",50548,795,15380]
" NC Metro Area""",42512,750,15500]
" IL Metro Area""",47258,818,16580]
" VA Metro Area""",58375,1098,16820]
" IL-IN-WI Metro Area""",60564,1176,16980]
" OH Metro Area""",49358,854,17460]
" CO Metro Area""",62760,1190,19740]
" NC Metro Area""",53492,968,20500]
" FL Metro Area""",38658,823,23540]
" NC Metro Area""",43791,778,24660]
" SC Metro Area""",44853,733,24860]
" CT Metro Area""",66356,1240,25540]
" TX Metro Area""",57366,1004,26420]
" IA Metro Area""",52220,891,26980]]
