median_household_income,median_monthly_rent,state_id,puma
40102,608,1,00100
57217,849,1,00301
36182,608,1,01800
45029,861,1,02702
54132,863,1,02703
40123,834,6,00702
45268,679,8,00100
92821,1581,8,00801
71606,1291,8,00802
66534,1266,8,00803
65858,1215,8,00805
78504,1557,12,01101
35671,632,12,01701
72206,1242,12,02101
39198,866,12,03107
94341,1697,12,08616
49131,878,13,00100
37284,624,13,01800
46658,1035,13,02001
52352,785,17,01701
90874,1702,17,03107
41385,638,24,00100
94983,1624,24,00301
74267,1350,24,00502
63297,1232,24,00504
62927,1164,24,00505
45568,982,24,00506
37877,944,24,00801
44872,1039,24,00802
48431,1056,24,00803
39503,990,24,00805
57761,1334,24,01101
50211,870,25,00100
55094,1028,25,00301
43620,1130,25,00502
74395,1425,25,00504
104810,1828,25,00505
84249,1772,25,00506
100624,1650,25,00702
76399,1370,25,00703
41393,627,26,00100
57915,899,26,00801
63525,942,26,00802
52241,909,26,01701
51754,875,26,02101
60711,1182,26,02702
51757,1002,26,02703
53615,743,27,00100
80231,1319,27,01101
77442,1175,27,01800
41319,588,29,00100
81295,1330,29,01701
60374,1007,29,02001
52001,922,33,00100
47430,697,39,00100
40432,729,39,00801
65340,974,39,00802
29837,683,39,04603
61719,919,39,04604
50347,826,42,00702
47786,806,42,00801
39777,730,42,00802
45603,744,42,00803
36874,831,42,01701
58460,773,42,02001
37095,829,42,02702
63804,1082,42,02703
39549,890,42,02803
45994,599,48,00100
52789,932,48,00502
41775,675,48,01800
70789,1164,48,02001
60294,984,48,02101
52291,1126,48,04603
101290,1566,48,04604
43235,725,55,00100
