name,median_household_income,median_monthly_rent,msa
" IL-IN-WI Metro Area""",66020,1218,16980]
" OH Metro Area""",52131,861,17460]
" CO Metro Area""",71926,1367,19740]
" TX Metro Area""",61708,1099,26420]
" CA Metro Area""",64052,1322,40900]
" MO-IL Metro Area""",59780,951,41180]
" MA Metro Area""",54855,1039,44140]
" CA Metro Area""",73900,1555,46700]
" VA-NC Metro Area""",61805,1211,47260]
" CA Metro Area""",65950,1559,31080]
" FL Metro Area""",51362,1249,33100]
" WI Metro Area""",58029,989,33340]
" MN-WI Metro Area""",73231,1200,33460]
" PA-NJ-DE-MD Metro Area""",65996,1217,37980]
" PA Metro Area""",56063,814,38300]
" DC-VA-MD-WV Metro Area""",95843,1735,47900]
" MA-CT Metro Area""",67763,1186,49340]
" MI Metro Area""",65601,1151,11460]
" GA Metro Area""",43165,811,12020]
" AL Metro Area""",48056,834,12220]
" MD Metro Area""",76788,1364,12580]
" MA-NH Metro Area""",82380,1597,14460]
" CO Metro Area""",74615,1438,14500]]
