median_household_income,median_monthly_rent,state_id,puma
40652,732,51,01800
69058,1507,51,02803
39360,666,55,00100
51887,1024,55,01800
37335,893,55,02001
67078,1211,55,02101
37638,622,1,00100
32829,609,1,01800
38108,865,6,00100
61580,1436,6,01101
46789,1019,6,01800
65237,1581,6,02001
43436,1207,6,02101
95223,1516,6,02702
86426,1715,6,02703
37920,743,8,00502
76030,1493,8,00801
60621,1208,8,00802
53577,1235,8,00803
58009,1157,8,00805
50166,989,12,00702
52856,1047,12,01101
62005,1231,12,02001
47102,943,12,02101
49961,1035,12,02702
53696,1191,12,02703
41417,703,13,00100
97197,1688,13,01101
50759,992,13,01800
40630,821,17,01101
55493,794,17,01800
39175,677,24,00100
66049,1421,24,00502
59601,1155,24,00504
63455,1183,24,00505
50525,973,24,00506
35118,950,24,00801
43402,965,24,00802
44992,1057,24,00803
23611,699,24,00805
50691,1207,24,01101
42464,831,25,00100
55499,955,25,01800
35808,579,26,00100
34770,814,26,01800
47627,710,27,00100
48227,827,27,01800
38005,533,29,00100
36826,920,29,01701
46159,875,33,00100
42440,665,39,00100
34921,747,39,00301
63778,1118,39,00502
21313,675,39,00607
38595,805,39,00609
43392,961,39,00610
43899,891,39,00611
67600,1289,39,00612
51963,978,39,00702
62564,1192,39,00703
77264,1399,39,01101
41238,754,39,01800
34314,781,39,03107
28528,642,42,00100
37406,741,42,00801
49266,835,42,00802
28721,700,42,01701
40620,679,42,02001
45271,704,42,02101
44408,547,48,00100
49323,905,48,00502
38646,623,48,01800
76033,1446,48,02101
65244,1057,48,04603
59037,1079,48,04604
94986,1809,51,00100
88182,1647,51,00301
85849,1686,51,00502
