median_household_income,median_monthly_rent,state_id,puma
46449,615,1,00100
63997,921,1,00301
47292,647,1,01800
50077,925,1,02702
55612,840,1,02703
55915,920,6,00702
53259,767,8,00100
116640,1841,8,00801
94231,1684,8,00802
77712,1601,8,00803
78948,1556,8,00805
86899,1743,12,01101
50751,678,12,01701
95788,1507,12,02101
51047,947,12,03107
97491,1841,12,08616
58508,931,13,00100
43880,640,13,01800
53030,1155,13,02001
57247,848,17,01701
111077,1763,17,03107
54194,694,24,00100
110400,1717,24,00301
73840,1489,24,00502
72032,1394,24,00504
78101,1306,24,00505
60353,1103,24,00506
42448,1038,24,00801
58578,1171,24,00802
53578,1125,24,00803
47110,1094,24,00805
72632,1539,24,01101
58895,1076,25,00100
60537,1156,25,00301
62487,1366,25,00502
87979,1749,25,00504
121787,2151,25,00505
119540,2285,25,00506
106526,1942,25,00702
96519,1699,25,00703
50339,651,26,00100
67053,986,26,00801
72226,1058,26,00802
65857,947,26,01701
69245,882,26,02101
72563,1333,26,02702
65463,1123,26,02703
61010,889,27,00100
96247,1418,27,01101
91707,1363,27,01800
48132,595,29,00100
100335,1353,29,01701
74227,978,29,02001
56769,1006,33,00100
57863,728,39,00100
40793,748,39,00801
77665,1004,39,00802
36206,697,39,04603
76277,1049,39,04604
64167,896,42,00702
57042,846,42,00801
48567,770,42,00802
55982,748,42,00803
50971,1012,42,01701
69858,796,42,02001
50135,896,42,02702
78046,1118,42,02703
40835,1039,42,02803
54124,671,48,00100
62242,1035,48,00502
47820,719,48,01800
85053,1411,48,02001
78797,1219,48,02101
56849,1263,48,04603
110233,1730,48,04604
51987,751,55,00100
