median_household_income,median_monthly_rent,state_id,puma
50783,651,1,00100
74768,1057,1,00301
50350,584,1,01800
48762,950,1,02702
56248,951,1,02703
62395,989,6,00702
57006,926,8,00100
120375,1800,8,00801
92370,1645,8,00802
87007,1867,8,00803
77601,1631,8,00805
89573,1796,12,01101
47197,617,12,01701
87347,1532,12,02101
51765,1116,12,03107
109716,1994,12,08616
60333,993,13,00100
44948,706,13,01800
63934,1202,13,02001
55949,866,17,01701
118229,1788,17,03107
50582,695,24,00100
125263,1753,24,00301
76721,1509,24,00502
75855,1447,24,00504
78907,1350,24,00505
55169,1073,24,00506
46013,1123,24,00801
61171,1236,24,00802
58168,1189,24,00803
53268,1162,24,00805
71332,1593,24,01101
60749,1124,25,00100
66442,1206,25,00301
64221,1524,25,00502
100890,1832,25,00504
133416,2217,25,00505
104746,2266,25,00506
129307,2069,25,00702
92304,1779,25,00703
53269,697,26,00100
76957,996,26,00801
80458,1152,26,00802
71418,1004,26,01701
68779,994,26,02101
69371,1430,26,02702
67033,1226,26,02703
65358,906,27,00100
101355,1489,27,01101
99964,1308,27,01800
51038,587,29,00100
96450,1323,29,01701
67616,995,29,02001
72886,1065,33,00100
62199,731,39,00100
45099,785,39,00801
84096,1092,39,00802
42474,774,39,04603
71221,1059,39,04604
67478,911,42,00702
65230,890,42,00801
54308,867,42,00802
57385,755,42,00803
55892,1054,42,01701
69415,847,42,02001
53692,957,42,02702
76467,1125,42,02703
46745,1108,42,02803
53298,675,48,00100
67106,1070,48,00502
52455,764,48,01800
86399,1414,48,02001
89799,1377,48,02101
57754,1286,48,04603
114175,1838,48,04604
55985,759,55,00100
